City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.57,92,97,1.79,NZ,1686614204
1,edinburgh of the seven seas,-37.0676,-12.3116,15.23,93,100,9.2,SH,1686614205
2,yellowknife,62.456,-114.3525,9.29,57,75,7.2,CA,1686614205
3,bethel,41.3712,-73.414,20.93,87,100,5.14,US,1686614018
4,la'ie,21.6477,-157.9253,31.98,68,43,2.68,US,1686614205
5,inhambane,-23.865,35.3833,20.01,89,2,4.43,MZ,1686614206
6,utrik,11.2278,169.8474,27.61,81,67,8.55,MH,1686613924
7,hawaiian paradise park,19.5933,-154.9731,28.73,62,20,3.6,US,1686614206
8,papatowai,-46.5619,169.4708,10.91,84,87,3.08,NZ,1686613926
9,hotan,37.0997,79.9269,26.03,23,36,3.08,CN,1686614207
10,mersing,2.4312,103.8405,23.95,94,20,2.57,MY,1686614207
11,mombetsu,44.3525,143.3525,17.37,79,100,2.29,JP,1686614207
12,archangelos,36.2149,28.1149,21.28,78,3,2.9,GR,1686614208
13,port-aux-francais,-49.35,70.2167,6.37,91,100,13.99,TF,1686614208
14,adamstown,-25.066,-130.1015,20.25,64,14,2.83,PN,1686613917
15,uvira,-3.4067,29.1458,23.49,71,41,0.83,CD,1686614208
16,east london,-33.0153,27.9116,13.85,70,81,4.88,ZA,1686614209
17,hilo,19.7297,-155.09,28.85,61,20,4.02,US,1686613941
18,mandvi,22.8333,69.3667,29.35,76,100,11.75,IN,1686614209
19,badger,64.8,-147.5333,17.78,38,75,5.66,US,1686613936
20,avarua,-21.2078,-159.775,26.03,83,40,5.14,CK,1686614210
21,salalah,17.0151,54.0924,28.43,87,100,2.44,OM,1686614210
22,balpyk bi,44.8947,78.2083,18.47,36,100,1.87,KZ,1686614210
23,new norfolk,-42.7826,147.0587,8.72,79,90,0.89,AU,1686614210
24,remire-montjoly,4.9167,-52.2667,27.02,83,20,2.06,GF,1686614211
25,georgetown,5.4112,100.3354,28.96,79,20,3.09,MY,1686614211
26,touros,-5.1989,-35.4608,24.72,86,3,4.63,BR,1686614211
27,sona,45.4388,10.8255,20.99,88,40,1.54,IT,1686614211
28,lebu,-37.6167,-73.65,8.66,77,0,6.54,CL,1686614212
29,codrington,-38.2667,141.9667,11.08,85,62,6.67,AU,1686614212
30,moranbah,-22.0016,148.0466,22.45,55,100,2.81,AU,1686614212
31,whitehorse,60.7161,-135.0538,16.43,21,40,8.23,CA,1686613940
32,pasni,25.2631,63.471,29.52,72,100,1.5,PK,1686614212
33,penzance,50.1186,-5.5371,15.38,90,9,3.55,GB,1686614213
34,haiku-pauwela,20.9219,-156.3051,29.01,51,40,7.72,US,1686614213
35,iqaluit,63.7506,-68.5145,2.85,60,100,7.2,CA,1686614213
36,college,64.8569,-147.8028,17.83,40,75,5.66,US,1686614214
37,kolonia,50.9333,6.95,20.13,48,0,2.06,DE,1686614214
38,port mathurin,-19.6833,63.4167,24.64,68,39,6.56,MU,1686614214
39,kayangel,8.0823,134.7173,27.87,76,97,3.48,PW,1686614047
40,lihue,21.9789,-159.3672,28.58,72,20,6.17,US,1686614215
41,feijo,-8.1642,-70.3536,23.13,97,22,0.71,BR,1686614215
42,stanley,54.868,-1.6985,12.63,91,67,0.51,GB,1686613975
43,al jawf,29.5,38.75,25.42,28,0,2.9,SA,1686614215
44,piacabucu,-10.4056,-36.4344,24.19,88,13,3.88,BR,1686614215
45,maxixe,-23.8597,35.3472,19.24,91,2,3.87,MZ,1686614216
46,vallenar,-28.5708,-70.7581,10.77,76,0,1.02,CL,1686614216
47,chonchi,-42.6128,-73.8092,3.95,95,15,0.98,CL,1686614216
48,hasaki,35.7333,140.8333,23.45,94,99,7.77,JP,1686614217
49,tsiombe,-25.3,45.4833,17.72,97,20,2.06,MG,1686614217
50,invercargill,-46.4,168.35,10.57,90,98,2.24,NZ,1686613921
51,kolosovka,56.4678,73.611,8.99,67,99,2.03,RU,1686614217
52,labrador city,52.9463,-66.9114,18.95,32,20,2.06,CA,1686614218
53,isangel,-19.55,169.2667,21.06,94,100,1.03,VU,1686614218
54,agra,27.1833,78.0167,34.83,31,2,4.2,IN,1686614218
55,ilulissat,69.2167,-51.1,3.01,65,75,4.63,GL,1686613968
56,uzgen,40.7699,73.3007,17.68,77,100,2.57,KG,1686614219
57,queenstown,-31.8976,26.8753,8.23,54,89,7.25,ZA,1686614012
58,vila franca do campo,37.7167,-25.4333,19.23,98,100,5.61,PT,1686614064
59,vorgashor,67.5833,63.95,4.56,60,97,4.26,RU,1686614219
60,la ronge,55.1001,-105.2842,22.12,40,100,3.6,CA,1686613950
61,hermanus,-34.4187,19.2345,15.45,85,100,12.4,ZA,1686614220
62,zaozersk,69.4005,32.4476,9.37,70,100,3.13,RU,1686614220
63,aasiaat,68.7098,-52.8699,0.5,82,61,7.71,GL,1686614220
64,uturoa,-16.7333,-151.4333,27.25,69,5,7.73,PF,1686614220
65,tiksi,71.6872,128.8694,1.96,95,80,1.38,RU,1686614221
66,longyearbyen,78.2186,15.6401,1.91,93,75,4.12,SJ,1686614221
67,xinqing,48.2333,129.5,20.68,58,53,1.68,CN,1686614221
68,howrah,22.5892,88.3103,28.0,94,40,1.54,IN,1686614018
69,chake chake,-5.2459,39.7666,24.06,76,1,4.2,TZ,1686614222
70,minas de marcona,-15.2119,-75.1103,12.42,85,48,8.34,PE,1686614222
71,srikakulam,18.3,83.9,30.72,54,83,2.7,IN,1686614222
72,polovinnoye,54.7914,65.9864,8.88,58,100,2.85,RU,1686614223
73,olonkinbyen,70.9221,-8.7187,1.52,89,99,8.46,SJ,1686614223
74,fraga,41.5229,0.3489,20.46,66,88,1.1,ES,1686614223
75,carnarvon,-24.8667,113.6333,14.13,46,0,7.01,AU,1686614223
76,inarajan village,13.2736,144.7484,29.11,81,42,7.49,GU,1686614224
77,keflavik,64.0049,-22.5624,8.95,81,20,1.03,IS,1686614224
78,ben gardane,33.1378,11.2197,25.02,50,6,4.09,TN,1686614224
79,port elizabeth,-33.918,25.5701,14.16,70,0,6.69,ZA,1686613925
80,richards bay,-28.783,32.0377,16.25,90,46,2.06,ZA,1686614225
81,asaita,11.5636,41.4394,33.18,37,97,3.6,ET,1686614225
82,raduzhny,62.0961,77.475,2.92,96,100,4.95,RU,1686614225
83,jamestown,42.097,-79.2353,13.77,80,100,5.66,US,1686614226
84,ancud,-41.8697,-73.8203,5.43,86,9,1.97,CL,1686614226
85,vilyuchinsk,52.9306,158.4028,22.15,49,0,2.28,RU,1686613973
86,pemangkat,1.1667,108.9667,26.7,82,93,2.14,ID,1686614226
87,novodvinsk,64.4165,40.8122,13.34,57,91,4.07,RU,1686614227
88,trairi,-3.2778,-39.2689,25.41,83,3,4.23,BR,1686614146
89,belyy yar,53.6039,91.3903,12.94,88,0,0.0,RU,1686614227
90,selfoss,63.9331,-20.9971,7.8,79,31,2.64,IS,1686614227
91,agua prieta,31.3,-109.5667,30.44,8,0,9.77,MX,1686614228
92,bredasdorp,-34.5322,20.0403,13.46,69,100,10.78,ZA,1686614228
93,sierakowice,54.3461,17.8925,13.62,74,91,3.88,PL,1686614228
94,i-n-salah,27.1935,2.4607,34.81,8,0,4.44,DZ,1686614228
95,chernomorskoye,45.5039,32.6997,17.2,90,63,2.89,UA,1686614229
96,verkhniye kigi,55.4083,58.6044,3.69,78,53,1.85,RU,1686614229
97,namtsy,62.7161,129.6658,9.43,52,99,2.46,RU,1686614229
98,arraial do cabo,-22.9661,-42.0278,19.98,100,40,1.03,BR,1686614230
99,grand falls-windsor,48.9332,-55.6649,10.84,85,100,0.89,CA,1686614230
100,thakhek,17.4103,104.8307,26.06,96,100,1.82,LA,1686614230
101,puerto natales,-51.7236,-72.4875,1.66,95,92,2.08,CL,1686614230
102,st. john's,47.5649,-52.7093,7.76,92,100,6.69,CA,1686613957
103,ponta delgada,37.7333,-25.6667,19.4,100,75,5.66,PT,1686614231
104,acarau,-2.8856,-40.12,25.87,82,0,5.7,BR,1686614083
105,boa vista,2.8197,-60.6733,26.99,78,40,2.06,BR,1686614231
106,bilibino,68.0546,166.4372,11.97,91,100,3.77,RU,1686614232
107,mermoz boabab,14.7065,-17.4758,27.31,89,0,5.14,SN,1686614232
